user,token,symbol,tokenPrice,amount,usd
FAmj2w5vdnyZYzdd6go4XANVWrb2GoMiuxEXixCNjEqf,AFbX8oGjGpmVFywbVouvhQSRmiW2aR1mohfahi4Y2AdB,GST,0.0,1.72e-07,0.0
FAmj2w5vdnyZYzdd6go4XANVWrb2GoMiuxEXixCNjEqf,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,USDC,0.999579,93.586438,93.547038109602
FAmj2w5vdnyZYzdd6go4XANVWrb2GoMiuxEXixCNjEqf,7i5KKsX2weiTkry7jA4ZwSuXGhs5eJBEjY8vVxR4pfRx,GMT,0.0,2.43e-07,0.0
JB8JCw3xCfmjzeV6pWRU59qWMMLKKnDkVXpBcbwvTeSa,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,USDC,0.999579,0.162677,0.162608512983
JB8JCw3xCfmjzeV6pWRU59qWMMLKKnDkVXpBcbwvTeSa,AFbX8oGjGpmVFywbVouvhQSRmiW2aR1mohfahi4Y2AdB,GST,0.0,0.100000193,0.0
AGk9yXNMDqwBS8BqY2MnTh1qgZrdqGnKS1XjQt3iEywb,AFbX8oGjGpmVFywbVouvhQSRmiW2aR1mohfahi4Y2AdB,GST,0.0,2.2e-08,0.0
AGk9yXNMDqwBS8BqY2MnTh1qgZrdqGnKS1XjQt3iEywb,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,USDC,0.999579,0.276731,0.27661449624900003
76khRZQb9oxHUuxycsS9p3r5KEMJKZqTKX1j2qgJBWvR,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,USDC,0.999579,2302.315076,2301.345801353004
76khRZQb9oxHUuxycsS9p3r5KEMJKZqTKX1j2qgJBWvR,AFbX8oGjGpmVFywbVouvhQSRmiW2aR1mohfahi4Y2AdB,GST,0.0,1.52e-07,0.0
76khRZQb9oxHUuxycsS9p3r5KEMJKZqTKX1j2qgJBWvR,7i5KKsX2weiTkry7jA4ZwSuXGhs5eJBEjY8vVxR4pfRx,GMT,0.0,2.05e-07,0.0
7a74o8iDePeCVFcTQVAyqU4N7sVuxRYeNia7yKHR55E9,AFbX8oGjGpmVFywbVouvhQSRmiW2aR1mohfahi4Y2AdB,GST,0.0,0.086329746,0.0
7a74o8iDePeCVFcTQVAyqU4N7sVuxRYeNia7yKHR55E9,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,USDC,0.999579,0.073971,0.073939858209
CsHWFwjnxNG4awjUgqZTMw6LAmdkZ4fZqiBAad39N14W,7i5KKsX2weiTkry7jA4ZwSuXGhs5eJBEjY8vVxR4pfRx,GMT,0.0,102.112411773,0.0
CsHWFwjnxNG4awjUgqZTMw6LAmdkZ4fZqiBAad39N14W,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,USDC,0.999579,4.757676,4.755673018404
CsHWFwjnxNG4awjUgqZTMw6LAmdkZ4fZqiBAad39N14W,AFbX8oGjGpmVFywbVouvhQSRmiW2aR1mohfahi4Y2AdB,GST,0.0,1.95e-07,0.0
2NZ3JTviyPSAqsrqMCYqndkVs7yAdvMd5WLeBWDVZZWZ,AFbX8oGjGpmVFywbVouvhQSRmiW2aR1mohfahi4Y2AdB,GST,0.0,0.108313236,0.0
2NZ3JTviyPSAqsrqMCYqndkVs7yAdvMd5WLeBWDVZZWZ,7i5KKsX2weiTkry7jA4ZwSuXGhs5eJBEjY8vVxR4pfRx,GMT,0.0,30.029611676,0.0
2NZ3JTviyPSAqsrqMCYqndkVs7yAdvMd5WLeBWDVZZWZ,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,USDC,0.999579,1068.879029,1068.429030928791
BfL5Nf8UqhEC4KRnyvfKGER1SY1gDwFXPy47yHfLXLvj,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,USDC,0.999579,79.720799,79.687236543621
BfL5Nf8UqhEC4KRnyvfKGER1SY1gDwFXPy47yHfLXLvj,AFbX8oGjGpmVFywbVouvhQSRmiW2aR1mohfahi4Y2AdB,GST,0.0,9.4e-08,0.0
ayu3ersiGcqopJ5sW4tWGLCAuYoHpLSoxjdBHFiZtaj,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,USDC,0.999579,1.584858,1.584190774782
CNNCcftAbfLZ4v6yDfgqZGUc1ijMDkJmrPuwFoVE8hde,CQyosTu6pHVFLSJ4fxttN3qxyyE2C7qkP7jTA3bQCd49,unknown,0.0,3.0,0.0
